Species	database	Origin
Ray-finned fishes		
barracouta/manga (Thyrsites atun)	Present	GenBank
blue warehou/warehou kahurangi (Seriolella brama)	Present	GenBank
hake/tīkati  (Merluccius australis)	Present	GenBank
Hector's lanternfish (Lampanyctodes hectoris)	Present	GenBank
leatherjacket/kokiri (Meuschenia scaber)	Present	GenBank
lemon sole/pātiki  (Pelotretis flavilatus)	Present	GenBank
ling/hokarari (Genypterus blacodes)	Present	GenBank
pearlside (Maurolicus muelleri)	Present	GenBank
red cod/hoka (Pseudophycis bachus)	Present	GenBank
rock cod (Lotella rhacina)	Present	GenBank
seahorse/kiore moana (Hippocampus abdominalis)	Present	GenBank
short-finned eel/tuna (Anguilla australis)	Present	GenBank
smelt/paraki (Retropinna retropinna)	Present	GenBank
sole/tarore (Peltorhamphus novaezeelandiae)	Present	GenBank
New Zealand blueback sprat/kupae (Sprattus antipodum)	Present	GenBank
stargazer/pūwhara (Kathetostoma giganteum)	Present	GenBank
New Zealand sprat/kupae (Sprattus muelleri)	Present	GenBank
common triplefin/kokopara (Forsterygion lapillum)	Present	GenBank
āhuru (Auchenoceros punctatus)	Present	this study
blue cod/rāwaru (Parapercis colias)	Present	this study
silverside (Argentina elongata)	Present	this study
jackass morwong/tarakihi (Nemadactylus macropterus)	Present	GenBank
cockabully/kokapuru (Grahamina nigripenne)	Absent	-
gudgeon/kuraihana (Grahamichthys radiata)	Absent	-
long-snouted pipefish (Stigmatophora macropterygia)	Absent	-
short-snouted pipefish (Lissocampus filum)	Absent	-
New Zealand sand diver (Tewara cranwellae)	Absent	-
silver conger (Gnathophis habenatus)	Absent	-
scorpionfish/rarai (Scorpaena cardinalis)	Absent	-
opalfish/kohikohi (Hemerocoetes monopterygius)	Absent	-
opalfish/kohikohi (Hemerocoetes artus)	Absent	-
blue grenadier/hoki (Macruronus novaezealandiae)	Absent	-
lamprey/piharau (Geotria australis)	Absent	-
sandfish (Gonorynchus gonorynchus)	Absent	-
silver warehou/warehou hiriwa (Serioella punctata)	Absent	-
Cephalopods		
arrow squid/wheketere (Nototodarus sloanii)	Present	GenBank
octopus/wheke (Macroctopus maorum)	Present	GenBank
greater hooked squid/ngū (Moroteuthis ingens)	Present	Genbank
pacific bobtail squid (Sepioloidea pacifica)	Absent	-