sample-id,Date,Samplequality,Breedingregion,Breedinglocation,Nestnumber,IndividualID,Ageclass,Statusof_bird1617,Time,Sex
S2,19/04/17,Latrine,North_Otago,Katiki_Point,NA,NA,Adult,Unknown,Post-moult,U
S3,20/04/17,Fresh,North_Otago,Bobby's_Head,NA,982000405533753,Adult,Non-breeding,Post-moult,M
S4,3/02/17,Fresh,North_Otago,Bobby's_Head,NA,982000405533753,Adult,Non-breeding,Pre-moult,M
S5,2/02/17,Fresh,Catlins,Hina_Hina_Cove,NA,982000033464096,Adult,Non-breeding,Pre-moult,M
S6,1/02/17,Fresh,Catlins,Penguin_Bay,MEL1,NA,Chick,Breeding,Post-guard,U
S7,19/04/17,Latrine,North_Otago,Okahau_Point,NA,NA,Adult,Unknown,Post-moult,U
S8,18/05/17,Fresh,Otago_Peninsula,Otapahi,OT3,19893,Adult,Breeding,Post-moult,M
S9,18/05/17,Fresh,Otago_Peninsula,Otapahi,OT4,982000063621423,Adult,Breeding,Post-moult,M
S10,10/12/16,Latrine,Catlins,Nugget_Point,SQP2,NA,Adult,Breeding,Post-guard,U
S11,26/04/17,Fresh,Otago_Peninsula,Aramoana,BA1,982000056093670,Adult,Breeding,Post-moult,F
S12,20/02/17,Fresh,Otago_Peninsula,Otapahi,OT4,982000063621423,Adult,Breeding,Pre-moult,M
S13,31/01/17,Fresh,Catlins,Nugget_Point,BB4,NA,Adult,Breeding,Post-guard,U
S14,8/02/17,Fresh,Catlins,Long_Point,MY13,NA,Chick,Breeding,Post-guard,U
S15,9/02/17,Fresh,Catlins,Cosgrove_Creek,RJ3,NA,Chick,Breeding,Post-guard,U
S16,19/04/17,Latrine,North_Otago,Katiki_Point,NA,NA,Adult,Unknown,Post-moult,U
S17,8/02/17,Fresh,Catlins,Long_Point,LPW5,NA,Chick,Breeding,Post-guard,U
S18,20/02/17,Fresh,Otago_Peninsula,Otapahi,OT3,19893,Adult,Breeding,Pre-moult,M
S19,8/02/17,Fresh,Catlins,Long_Point,MY12,NA,Chick,Breeding,Post-guard,U
S20,19/04/17,Latrine,North_Otago,Katiki_Point,NA,NA,Adult,Unknown,Post-moult,U
S21,9/02/17,Fresh,Catlins,Cosgrove_Creek,CCTW1,NA,Chick,Breeding,Post-guard,U
S22,30/04/17,Fresh,Otago_Peninsula,Aramoana,MY2,982000365942048,Adult,Breeding,Post-moult,M
S23,19/04/17,Latrine,North_Otago,Katiki_Point,NA,NA,Adult,Unknown,Post-moult,U
S24,26/01/17,Fresh,Otago_Peninsula,Otapahi,OT3,NA,Chick,Breeding,Post-guard,U
S25,19/04/17,Latrine,North_Otago,Katiki_Point,NA,NA,Adult,Unknown,Post-moult,U
S26,17/05/17,Fresh,Otago_Peninsula,Otapahi,NA,982000063620187,Adult,Non-breeding,Post-moult,M
S27,19/04/17,Fresh,North_Otago,Bobby's_Head,NA,982000405533753,Adult,Non-breeding,Post-moult,M
S28,16/03/17,Fresh,Catlins,Long_Point,NA,982000063621154,Adult,Non-breeding,Post-moult,M
S29,16/02/17,Fresh,Otago_Peninsula,Otapahi,OT3,NA,Chick,Breeding,Post-guard,U
S30,16/02/17,Fresh,Otago_Peninsula,Otapahi,OT3,NA,Chick,Breeding,Post-guard,U
S31,18/12/16,Latrine,Otago_Peninsula,Otapahi,OT4,NA,Adult,Breeding,Post-guard,U
S32,8/05/17,Fresh,Otago_Peninsula,Victory_Beach,NA,982000405534107,Adult,Non-breeding,Post-moult,M
S33,18/05/17,Fresh,Otago_Peninsula,Otapahi,NA,982000063621691,Adult,Non-breeder,Post-moult,F
S34,27/05/17,Latrine,North_Otago,Bushy_Beach,NA,NA,Adult,Unknown,Post-moult,U
S35,9/11/16,Latrine,Otago_Peninsula,Victory_Beach,OKS1,NA,Adult,Breeding,Guard,U
S36,11/12/16,Latrine,Otago_Peninsula,Otapahi,OT4,NA,Adult,Breeding,Guard,U
S37,17/11/16,Latrine,Otago_Peninsula,Otapahi,OT6,NA,Adult,Breeding,Post-guard,U
S38,17/12/16,Latrine,Catlins,Nugget_Point,SQP2,NA,Adult,Breeding,Guard,U
S39,19/12/16,Latrine,Catlins,Hina_Hina_Cove,BB5,NA,Adult,Breeding,Post-guard,U
S40,18/12/16,Latrine,North_Otago,Katiki_Point,KP93,NA,Adult,Breeding,Post-guard,U
S41,18/12/16,Latrine,Otago_Peninsula,Otapahi,OT4,NA,Adult,Breeding,Post-guard,U
S42,7/02/17,Latrine,Catlins,Penguin_Bay,NA,NA,Adult,Unknown,Post-moult,U
S43,9/06/17,Fresh,Catlins,Long_Point,NA,982000033460940,Adult,Non-breeding,Post-moult,M
S44,27/05/17,Fresh,North_Otago,Bushy_Beach,NA,982000405533525,Adult,Non-breeding,Post-moult,M
S45,9/11/16,Latrine,Otago_Peninsula,Otapahi,OT4,NA,Adult,Breeding,Guard,U
S46,18/11/16,Latrine,Catlins,Nugget_Point,CP3,NA,Adult,Breeding,Guard,U
S47,9/06/17,Latrine,Catlins,Long_Point,NA,NA,Adult,Unknown,Post-moult,U
S48,26/11/17,Latrine,North_Otago,Katiki_Point,KP28,NA,Adult,Breeding,Guard,U
S49,13/11/16,Latrine,Otago_Peninsula,Aramoana,MY2,NA,Adult,Breeding,Guard,U
S50,17/11/16,Latrine,Otago_Peninsula,Otapahi,OT3,NA,Adult,Breeding,Guard,U
S51,18/06/17,Fresh,Catlins,Penguin_Bay,NA,982000405533441,Adult,Non-breeding,Post-moult,M
S52,17/11/16,Latrine,North_Otago,Bobby's_Head,TAV1,NA,Adult,Breeding,Guard,U
S53,2/11/16,Latrine,Otago_Peninsula,Sandymount,JW2,NA,Adult,Breeding,Incubation,U
S54,17/06/17,Fresh,Catlins,Hina_Hina_Cove,NA,982000405359120,Adult,Non-breeding,Post-moult,F
S55,18/12/16,Latrine,North_Otago,Katiki_Point,KP28,NA,Adult,Breeding,Post-guard,U
S56,18/06/17,Fresh,Catlins,Penguin_Bay,RR5,982000365999698,Adult,Breeding,Post-moult,F
S57,1/11/16,Latrine,North_Otago,Katiki_Point,KP93,NA,Adult,Breeding,Incubation,U
S58,17/11/16,Latrine,Otago_Peninsula,Otapahi,OT4,NA,Adult,Breeding,Guard,U
S59,18/12/16,Latrine,Otago_Peninsula,Otapahi,OT5,NA,Adult,Breeding,Post-guard,U
S60,11/12/16,Latrine,Otago_Peninsula,Sandymount,JW1,NA,Adult,Breeding,Guard,U
S61,7/06/17,Latrine,Catlins,Penguin_Bay,NA,NA,Adult,Unknown,Post-moult,U
S62,6/06/17,Latrine,Catlins,Nugget_Point,NA,NA,Adult,Unknown,Post-moult,U
S63,28/11/16,Latrine,Otago_Peninsula,Otapahi,OT4,NA,Adult,Breeding,Guard,U
S64,26/01/17,Latrine,Otago_Peninsula,Otapahi,OT5,NA,Adult,Breeding,Post-guard,U
S65,18/12/16,Latrine,Catlins,Nugget_Point,RR3,NA,Adult,Breeding,Guard,U
S66,10/12/16,Latrine,Catlins,Hina_Hina_Cove,BB5,NA,Adult,Breeding,Guard,U
S67,6/06/17,Fresh,Catlins,Nugget_Point,NA,19031,Adult,Non-breeding,Post-moult,M
S68,8/06/17,Fresh,Catlins,Long_Point,MY10,982000365999978,Adult,Breeding,Post-moult,F
S69,12/11/16,Latrine,Catlins,Penguin_Bay,SQP6,NA,Chick,Breeding,Guard,U
S70,18/06/17,Fresh,Catlins,Penguin_Bay,NA,982000063604063,Adult,Non-breeding,Post-moult,F
S71,17/12/16,Latrine,Catlins,Long_Point,MY13,NA,Chick,Breeding,Post-guard,U
S72,19/12/16,Latrine,Catlins,Penguin_Bay,SQP5,NA,Chick,Breeding,Post-guard,U
S73,1/11/16,Latrine,North_Otago,Katiki_Point,KP28,NA,Chick,Breeding,Guard,U
S74,18/12/16,Latrine,Otago_Peninsula,Otapahi,OT6,NA,Chick,Breeding,Post-guard,U
S75,17/12/16,Latrine,Catlins,Nugget_Point,SQP2,NA,Chick,Breeding,Post-guard,U
S76,17/12/16,Latrine,Catlins,Long_Point,MY14,NA,Chick,Breeding,Post-guard,U
S77,18/12/16,Latrine,North_Otago,Katiki_Point,KP93,NA,Chick,Breeding,Guard,U
S78,11/12/16,Latrine,Otago_Peninsula,Otapahi,OT4,NA,Chick,Breeding,Post-guard,U
S79,16/08/17,Latrine,Catlins,Long_Point,NA,NA,Adult,Unknown,Pre-egg,U
S80,28/11/16,Latrine,Otago_Peninsula,Otapahi,OT4,NA,Chick,Breeding,Guard,U
S81,11/12/16,Latrine,Otago_Peninsula,Sandymount,JW2,NA,Chick,Breeding,Post-guard,U
S82,16/08/17,Latrine,Catlins,Long_Point,NA,NA,Adult,Unknown,Pre-egg,U
S83,26/11/16,Latrine,North_Otago,Katiki_Point,KP93,NA,Chick,Breeding,Guard,U
S84,18/12/16,Latrine,Otago_Peninsula,Aramoana,MY2,NA,Chick,Breeding,Post-guard,U
S85,11/12/16,Latrine,Otago_Peninsula,Otapahi,OT5,NA,Chick,Breeding,Post-guard,U
S86,11/12/16,Latrine,Otago_Peninsula,Sandymount,JW1,NA,Chick,Breeding,Post-guard,U
S87,16/08/17,Latrine,Catlins,Long_Point,NA,NA,Adult,Unknown,Pre-egg,U
S88,10/12/16,Latrine,Catlins,Penguin_Bay,SQP5,NA,Chick,Breeding,Post-guard,U
S89,15/11/16,Latrine,North_Otago,Katiki_Point,KP93,NA,Chick,Breeding,Guard,U
S90,18/11/16,Latrine,Catlins,Penguin_Bay,SQP6,NA,Chick,Breeding,Guard,U
S91,16/08/17,Latrine,Catlins,Nugget_Point,NA,NA,Adult,Unknown,Pre-egg,U
S92,16/08/17,Latrine,Catlins,Nugget_Point,NA,NA,Adult,Unknown,Pre-egg,U
S93,16/02/17,Fresh,Otago_Peninsula,O,OT3,NA,Chick,Breeding,Post-guard,U
S94,19/04/17,Latrine,North_Otago,Katiki_Point,NA,NA,Adult,Unknown,Post-moult,U
S95,18/02/17,Fresh,Otago_Peninsula,Aramoana,MY2,982000365942048,Adult,Breeding,Pre-moult,M
S96,25/04/17,Latrine,Otago_Peninsula,Aramoana,NA,19831,Adult,Non-breeding,Post-moult,M
S97,19/04/17,Latrine,North_Otago,Okahau_Point,NA,NA,Adult,Unknown,Post-moult,U
S98,27/01/17,Fresh,Otago_Peninsula,Double_Bay,TT6,NA,Chick,Breeding,Post-guard,U
S99,10/12/16,Latrine,Catlins,Nugget_Point,RR3,NA,Chick,Breeding,Guard,U
S100,19/04/17,Latrine,North_Otago,Katiki_Point,NA,NA,Adult,Unknown,Post-moult,U
S101,12/05/17,Fresh,Otago_Peninsula,Otapahi,NA,982000405533774,Adult,Non-breeding,Post-moult,M
S102,19/04/17,Latrine,North_Otago,Katiki_Point,NA,NA,Adult,Unknown,Post-moult,U
S103,10/12/16,Latrine,Catlins,Penguin_Bay,SQP7,NA,Chick,Breeding,Guard,U
S104,19/04/17,Latrine,North_Otago,Katiki_Point,NA,NA,Adult,Unknown,Post-moult,U
S105,21/04/17,Latrine,North_Otago,Bobby's_Head,NA,NA,Adult,Unknown,Post-moult,U
S106,8/12/16,Latrine,Catlins,Long_Point,MY14,NA,Chick,Breeding,Guard,U
S107,19/04/17,Latrine,North_Otago,Katiki_Point,NA,NA,Adult,Unknown,Post-moult,U
S108,18/04/17,Latrine,North_Otago,Bobby's_Head,TAV1,NA,Adult,Unknown,Post-moult,U
S109,8/02/17,Fresh,Catlins,Long_Point,LPW5,NA,Chick,Breeding,Post-guard,U
S110,15/02/17,Fresh,Otago_Peninsula,Aramoana,BA1,NA,Chick,Breeding,Post-guard,U
S111,22/04/17,Fresh,Otago_Peninsula,Aramoana,NA,19831,Adult,Non-breeding,Post-moult,M
S112,26/11/16,Fresh,Otago_Peninsula,Highcliff,MY4,20217,Adult,Breeding,Guard,F
S113,19/04/17,Latrine,North_Otago,Katiki_Point,NA,NA,Adult,Unknown,Post-moult,U
S114,22/02/17,Fresh,Otago_Peninsula,Otapahi,OT4,982000063621423,Adult,Breeding,Pre-moult,M
S115,19/04/17,Latrine,North_Otago,Katiki_Point,NA,NA,Adult,Unknown,Post-moult,U
S116,26/04/17,Fresh,Otago_Peninsula,Aramoana,NA,982000405533966,Adult,Non-breeding,Post-moult,M
S117,28/04/17,Fresh,Otago_Peninsula,Aramoana,NA,982000405533676,Adult,Non-breeding,Post-moult,M
S118,9/11/16,Fresh,North_Otago,Bobby's_Head,TAV1,15592,Adult,Breeding,Guard,M
S119,26/11/16,Latrine,North_Otago,Katiki_Point,KP93,NA,Adult,Breeding,Guard,U
S120,20/11/16,Latrine,Otago_Peninsula,Aramoana,MY1,NA,Adult,Breeding,Guard,U
S121,17/07/17,Latrine,Otago_Peninsula,Otapahi,OT1,19725,Adult,Breeding,Post-moult,M
S122,7/06/17,Latrine,Catlins,Penguin_Bay,NA,NA,Adult,Unknown,Post-moult,U
S123,18/06/17,Latrine,Catlins,Penguin_Bay,NA,NA,Adult,Unknown,Post-moult,U
S124,27/05/17,Latrine,North_Otago,Bushy_Beach,NA,NA,Adult,Unknown,Post-moult,U
S125,29/11/16,Latrine,Otago_Peninsula,Aramoana,MY1,NA,Adult,Breeding,Guard,U
S126,28/11/16,Latrine,Otago_Peninsula,Victory_Beach,OKS1,NA,Adult,Breeding,Guard,U
S127,21/11/16,Latrine,Otago_Peninsula,Otapahi,OT6,NA,Adult,Breeding,Post-guard,U
S128,10/12/16,Latrine,Catlins,Nugget_Point,SQP2,NA,Adult,Breeding,Guard,U
S129,8/06/17,Latrine,Catlins,Long_Point,NA,NA,Adult,Unknown,Post-moult,U
S130,7/06/17,Latrine,Catlins,Penguin_Bay,NA,NA,Adult,Unknown,Post-moult,U
S131,18/06/17,Latrine,Catlins,Penguin_Bay,NA,NA,Adult,Unknown,Post-moult,U
S132,30/10/16,Latrine,North_Otago,Bobby's_Head,TAV1,NA,Adult,Breeding,Incubation,U
S133,1/11/16,Latrine,Otago_Peninsula,Aramoana,MY2,NA,Adult,Breeding,Incubation,U
S134,9/11/16,Latrine,Otago_Peninsula,Otapahi,OT3,NA,Adult,Breeding,Guard,U
S135,11/12/16,Latrine,Otago_Peninsula,Otapahi,OT6,NA,Adult,Breeding,Guard,U
S136,6/06/17,Fresh,Catlins,Nugget_Point,BB4,982000402100702,Adult,Breeding,Post-moult,M
S137,6/06/17,Latrine,Catlins,Nugget_Point,NA,NA,Adult,Unknown,Post-moult,U
S138,17/06/17,Fresh,Catlins,Hina_Hina_Cove,NA,982000405533014,Adult,Non-breeding,Post-moult,M
S139,18/06/17,Fresh,Catlins,Penguin_Bay,NA,982000405534062,Adult,Non-breeding,Post-moult,M
S140,1/11/16,Latrine,North_Otago,Bobby's_Head,TAV1,NA,Adult,Breeding,Incubation,U
S141,9/11/16,Latrine,Otago_Peninsula,Otapahi,OT5,NA,Adult,Breeding,Guard,U
S142,18/12/16,Latrine,Otago_Peninsula,Otapahi,OT6,NA,Adult,Breeding,Post-guard,U
S143,17/12/16,Latrine,Catlins,Nugget_Point,CP3,NA,Adult,Breeding,Post-guard,U
S144,7/06/17,Fresh,Catlins,Nugget_Point,NA,19031,Adult,Non-breeding,Post-moult,M
S145,17/06/17,Latrine,Catlins,Hina_Hina_Cove,EE7,NA,Adult,Breeding,Post-moult,U
S146,11/12/16,Latrine,Otago_Peninsula,Otapahi,OT3,NA,Adult,Breeding,Guard,U
S147,17/11/16,Latrine,Otago_Peninsula,Otapahi,OT5,NA,Adult,Breeding,Guard,U
S148,18/06/17,Latrine,Catlins,Penguin_Bay,NA,NA,Adult,Non-breeding,Post-moult,U
S149,21/11/16,Latrine,North_Otago,Bobby's_Head,TAV1,NA,Adult,Breeding,Guard,U
S150,29/11/16,Latrine,Otago_Peninsula,Aramoana,MY2,NA,Adult,Breeding,Guard,U
S151,8/06/17,Latrine,Catlins,Long_Point,MY10,NA,Adult,Breeding,Post-moult,U
S152,13/12/16,Latrine,Otago_Peninsula,Aramoana,MY2,NA,Adult,Breeding,Post-guard,U
S153,8/06/17,Latrine,Catlins,Long_Point,MY10,NA,Adult,Breeding,Post-moult,U
S154,17/06/17,Fresh,Catlins,Hina_Hina_Cove,NA,982000405532159,Adult,Non-breeding,Post-moult,M
S155,13/11/16,Latrine,Otago_Peninsula,Aramoana,MY1,NA,Adult,Breeding,Guard,U
S156,18/12/16,Latrine,Otago_Peninsula,Aramoana,MY2,NA,Adult,Breeding,Post-guard,U
S157,18/06/17,Fresh,Catlins,Penguin_Bay,BB7,982000365941719,Adult,Breeding,Post-moult,F
S158,19/12/16,Latrine,Catlins,Penguin_Bay,RR5,NA,Chick,Breeding,Post-guard,U
S159,1/11/16,Latrine,North_Otago,Bobby's_Head,TAV1,NA,Chick,Breeding,Guard,U
S160,29/11/16,Latrine,Otago_Peninsula,Aramoana,MY1,NA,Chick,Breeding,Guard,U
S161,18/12/16,Latrine,Otago_Peninsula,Otapahi,OT3,NA,Chick,Breeding,Post-guard,U
S162,17/11/16,Latrine,Otago_Peninsula,Otapahi,OT6,NA,Chick,Breeding,Guard,U
S163,9/11/16,Latrine,Otago_Peninsula,Otapahi,OT3,NA,Chick,Breeding,Guard,U
S164,18/11/16,Latrine,Catlins,Penguin_Bay,RR5,NA,Chick,Breeding,Guard,U
S165,16/08/17,Latrine,Catlins,Long_Point,NA,NA,Adult,Unknown,Pre-egg,U
S166,12/11/16,Latrine,Catlins,Penguin_Bay,BB8,NA,Chick,Breeding,Guard,U
S167,1/11/16,Latrine,North_Otago,Katiki_Point,KP93,NA,Chick,Breeding,Guard,U
S168,17/11/16,Latrine,Otago_Peninsula,Otapahi,OT5,NA,Chick,Breeding,Guard,U
S169,10/12/16,Latrine,Catlins,Nugget_Point,SQP2,NA,Chick,Breeding,Post-guard,U
S170,16/08/17,Latrine,Catlins,Long_Point,NA,NA,Adult,Unknown,Pre-egg,U
S171,20/11/16,Latrine,Otago_Peninsula,Aramoana,MY1,NA,Chick,Breeding,Guard,U
S172,17/11/16,Latrine,Otago_Peninsula,Otapahi,OT3,NA,Chick,Breeding,Guard,U
S173,10/12/16,Latrine,Catlins,Hina_Hina_Cove,EE7,NA,Chick,Breeding,Post-guard,U
S174,22/06/17,Latrine,Catlins,Nugget_Point,NA,NA,Adult,Unknown,Post-moult,U
S175,19/12/16,Latrine,Catlins,Penguin_Bay,RR6,NA,Chick,Breeding,Post-guard,U
S176,17/11/16,Latrine,North_Otago,Bobby's_Head,TAV1,NA,Chick,Breeding,Guard,U
S177,13/11/16,Latrine,Otago_Peninsula,Aramoana,MY1,NA,Chick,Breeding,Guard,U
S178,26/01/17,Latrine,Otago_Peninsula,Otapahi,OT4,NA,Chick,Breeding,Post-guard,U
S179,10/12/16,Latrine,Catlins,Hina_Hina_Cove,BB5,NA,Chick,Breeding,Post-guard,U
S180,11/11/16,Latrine,Catlins,Hina_Hina_Cove,CW3,NA,Chick,Breeding,Guard,U
S181,16/08/17,Latrine,Catlins,Long_Point,NA,NA,Adult,Unknown,Pre-egg,U
S182,8/07/17,Latrine,Catlins,Penguin_Bay,NA,NA,Adult,Unknown,Post-moult,U
S183,10/12/16,Latrine,Catlins,Penguin_Bay,BB7,NA,Chick,Breeding,Post-guard,U
S184,26/11/16,Latrine,North_Otago,Katiki_Point,KP93,NA,Chick,Breeding,Guard,U
S185,30/10/16,Latrine,North_Otago,Bobby's_Head,TAV1,NA,Chick,Breeding,Guard,U
S186,13/11/16,Latrine,Otago_Peninsula,Aramoana,MY2,NA,Chick,Breeding,Guard,U
S187,11/12/16,Latrine,Otago_Peninsula,Otapahi,OT6,NA,Chick,Breeding,Post-guard,U
S188,2/11/16,Latrine,Otago_Peninsula,Sandymount,JW2,NA,Chick,Breeding,Guard,U
S189,16/08/17,Latrine,Catlins,Long_Point,NA,NA,Adult,Unknown,Pre-egg,U
S190,8/07/17,Latrine,Catlins,Penguin_Bay,NA,NA,Adult,Unknown,Post-moult,U
S191,10/12/16,Latrine,Catlins,Penguin_Bay,SQP5,NA,Chick,Breeding,Post-guard,U
S192,1/11/16,Latrine,Otago_Peninsula,Aramoana,MY2,NA,Chick,Breeding,Guard,U
S193,18/12/16,Latrine,Otago_Peninsula,Otapahi,OT4,NA,Chick,Breeding,Post-guard,U
S194,8/12/16,Latrine,Catlins,Long_Point,MY13,NA,Chick,Breeding,Post-guard,U
S195,19/12/16,Latrine,Catlins,Penguin_Bay,BB7,NA,Chick,Breeding,Post-guard,U
S196,13/12/16,Latrine,Otago_Peninsula,Aramoana,MY2,NA,Chick,Breeding,Post-guard,U
S197,1/11/16,Latrine,Otago_Peninsula,Aramoana,MY1,NA,Chick,Breeding,Guard,U
S198,11/12/16,Latrine,Otago_Peninsula,Otapahi,OT3,NA,Chick,Breeding,Guard,U
S199,19/12/16,Latrine,Catlins,Hina_Hina_Cove,BB5,NA,Chick,Breeding,Post-guard,U
S200,16/08/17,Latrine,Catlins,Long_Point,NA,NA,Adult,Unknown,Pre-egg,U
S201,8/12/16,Latrine,Catlins,Long_Point,MY16,NA,Chick,Breeding,Post-guard,U
S202,19/12/16,Latrine,Catlins,Penguin_Bay,MEL1,NA,Chick,Breeding,Post-guard,U
S203,21/11/16,Latrine,North_Otago,Bobby's_Head,TAV1,NA,Chick,Breeding,Guard,U
S204,29/11/16,Latrine,Otago_Peninsula,Aramoana,MY2,NA,Chick,Breeding,Guard,U
S205,26/01/17,Latrine,Otago_Peninsula,Otapahi,OT5,NA,Chick,Breeding,Post-guard,U
S206,17/11/16,Latrine,Otago_Peninsula,Otapahi,OT4,NA,Chick,Breeding,Guard,U
S207,9/11/16,Latrine,Otago_Peninsula,Otapahi,OT4,NA,Chick,Breeding,Guard,U
S208,18/11/16,Latrine,Catlins,Nugget_Point,RR3,NA,Chick,Breeding,Guard,U
S209,16/08/17,Latrine,Catlins,Long_Point,NA,NA,Adult,Unknown,Pre-egg,U
S210,12/05/17,Fresh,Otago_Peninsula,Otapahi,NA,982000063620187,Adult,Non-breeding,Post-moult,M
S211,16/08/17,Latrine,Catlins,Nugget_Point,NA,NA,Adult,Unknown,Pre-egg,U
S212,16/08/17,Latrine,Catlins,Nugget_Point,NA,NA,Adult,Unknown,Pre-egg,U
S213,16/08/17,Latrine,Catlins,Nugget_Point,NA,NA,Adult,Unknown,Pre-egg,U
S214,16/08/17,Latrine,Catlins,Nugget_Point,NA,NA,Adult,Unknown,Pre-egg,U
S215,16/08/17,Latrine,Catlins,Nugget_Point,NA,NA,Adult,Unknown,Pre-egg,U
S216,16/08/17,Latrine,Catlins,Nugget_Point,NA,NA,Adult,Unknown,Pre-egg,U
S217,16/08/17,Latrine,Catlins,Nugget_Point,NA,NA,Adult,Unknown,Pre-egg,U
S218,16/08/17,Latrine,Catlins,Nugget_Point,NA,NA,Adult,Unknown,Pre-egg,U
S219,16/08/17,Latrine,Catlins,Nugget_Point,NA,NA,Adult,Unknown,Pre-egg,U
S220,16/08/17,Latrine,Catlins,Nugget_Point,NA,NA,Adult,Unknown,Pre-egg,U