index,Mollusca;Cephalopoda;Octopoda;Argonautidae;Argonauta;Argonauta nodosa,Mollusca;Cephalopoda;Octopoda;Octopodidae;Enteroctopus;Enteroctopus megalocyathus,Mollusca;Cephalopoda;Octopoda;Octopodidae;Macroctopus;Macroctopus maorum,Mollusca;Cephalopoda;Octopoda;Octopodidae;Octopus;__,Mollusca;Cephalopoda;Teuthida;Cranchiidae;Teuthowenia;Teuthowenia megalops,Mollusca;Cephalopoda;Teuthida;Octopoteuthidae;__;__,Mollusca;Cephalopoda;Teuthida;Ommastrephidae;Nototodarus;__,Mollusca;Cephalopoda;Teuthida;Onychoteuthidae;Moroteuthopsis;Moroteuthopsis aff. ingens HEB-2018,Mollusca;Cephalopoda;Teuthida;__;__;__,Date,Samplequality,Breedingregion,Breedinglocation,Nestnumber,IndividualID,Ageclass,Statusof_bird1617,Time,Sex
S100,0.0,0.0,0.0,11.0,0.0,0.0,14.0,0.0,0.0,19/04/17,Latrine,North_Otago,Katiki_Point,NA,NA,Adult,Unknown,Post-moult,U
S103,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,10/12/16,Latrine,Catlins,Penguin_Bay,SQP7,NA,Chick,Breeding,Guard,U
S106,0.0,20.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,8/12/16,Latrine,Catlins,Long_Point,MY14,NA,Chick,Breeding,Guard,U
S108,0.0,93.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,18/04/17,Latrine,North_Otago,Bobby's_Head,TAV1,NA,Adult,Unknown,Post-moult,U
S109,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8/02/17,Fresh,Catlins,Long_Point,LPW5,NA,Chick,Breeding,Post-guard,U
S111,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.0,0.0,22/04/17,Fresh,Otago_Peninsula,Aramoana,NA,19831,Adult,Non-breeding,Post-moult,M
S112,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,26/11/16,Fresh,Otago_Peninsula,Highcliff,MY4,20217,Adult,Breeding,Guard,F
S113,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,19/04/17,Latrine,North_Otago,Katiki_Point,NA,NA,Adult,Unknown,Post-moult,U
S115,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19/04/17,Latrine,North_Otago,Katiki_Point,NA,NA,Adult,Unknown,Post-moult,U
S116,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,26/04/17,Fresh,Otago_Peninsula,Aramoana,NA,982000405533966,Adult,Non-breeding,Post-moult,M
S117,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,28/04/17,Fresh,Otago_Peninsula,Aramoana,NA,982000405533676,Adult,Non-breeding,Post-moult,M
S119,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,0.0,26/11/16,Latrine,North_Otago,Katiki_Point,KP93,NA,Adult,Breeding,Guard,U
S120,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,20/11/16,Latrine,Otago_Peninsula,Aramoana,MY1,NA,Adult,Breeding,Guard,U
S121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,17/07/17,Latrine,Otago_Peninsula,Otapahi,OT1,19725,Adult,Breeding,Post-moult,M
S125,0.0,0.0,0.0,0.0,0.0,0.0,272.0,0.0,0.0,29/11/16,Latrine,Otago_Peninsula,Aramoana,MY1,NA,Adult,Breeding,Guard,U
S129,0.0,0.0,0.0,49.0,0.0,0.0,64.0,0.0,0.0,8/06/17,Latrine,Catlins,Long_Point,NA,NA,Adult,Unknown,Post-moult,U
S134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,9/11/16,Latrine,Otago_Peninsula,Otapahi,OT3,NA,Adult,Breeding,Guard,U
S136,0.0,0.0,0.0,66.0,0.0,0.0,40.0,0.0,0.0,6/06/17,Fresh,Catlins,Nugget_Point,BB4,982000402100702,Adult,Breeding,Post-moult,M
S137,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6/06/17,Latrine,Catlins,Nugget_Point,NA,NA,Adult,Unknown,Post-moult,U
S138,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,17/06/17,Fresh,Catlins,Hina_Hina_Cove,NA,982000405533014,Adult,Non-breeding,Post-moult,M
S14,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,8/02/17,Fresh,Catlins,Long_Point,MY13,NA,Chick,Breeding,Post-guard,U
S142,0.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,0.0,18/12/16,Latrine,Otago_Peninsula,Otapahi,OT6,NA,Adult,Breeding,Post-guard,U
S146,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,11/12/16,Latrine,Otago_Peninsula,Otapahi,OT3,NA,Adult,Breeding,Guard,U
S148,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,18/06/17,Latrine,Catlins,Penguin_Bay,NA,NA,Adult,Non-breeding,Post-moult,U
S150,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,29/11/16,Latrine,Otago_Peninsula,Aramoana,MY2,NA,Adult,Breeding,Guard,U
S151,0.0,0.0,0.0,8.0,0.0,0.0,22.0,0.0,0.0,8/06/17,Latrine,Catlins,Long_Point,MY10,NA,Adult,Breeding,Post-moult,U
S152,0.0,0.0,0.0,0.0,0.0,0.0,145.0,0.0,0.0,13/12/16,Latrine,Otago_Peninsula,Aramoana,MY2,NA,Adult,Breeding,Post-guard,U
S153,0.0,0.0,0.0,52.0,0.0,0.0,66.0,0.0,0.0,8/06/17,Latrine,Catlins,Long_Point,MY10,NA,Adult,Breeding,Post-moult,U
S155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,13/11/16,Latrine,Otago_Peninsula,Aramoana,MY1,NA,Adult,Breeding,Guard,U
S158,6.0,0.0,0.0,0.0,0.0,0.0,99.0,17.0,0.0,19/12/16,Latrine,Catlins,Penguin_Bay,RR5,NA,Chick,Breeding,Post-guard,U
S160,0.0,0.0,0.0,0.0,0.0,0.0,262.0,0.0,0.0,29/11/16,Latrine,Otago_Peninsula,Aramoana,MY1,NA,Chick,Breeding,Guard,U
S161,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,18/12/16,Latrine,Otago_Peninsula,Otapahi,OT3,NA,Chick,Breeding,Post-guard,U
S164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970.0,0.0,18/11/16,Latrine,Catlins,Penguin_Bay,RR5,NA,Chick,Breeding,Guard,U
S171,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,20/11/16,Latrine,Otago_Peninsula,Aramoana,MY1,NA,Chick,Breeding,Guard,U
S172,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,17/11/16,Latrine,Otago_Peninsula,Otapahi,OT3,NA,Chick,Breeding,Guard,U
S173,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,10/12/16,Latrine,Catlins,Hina_Hina_Cove,EE7,NA,Chick,Breeding,Post-guard,U
S175,0.0,0.0,0.0,13.0,0.0,0.0,0.0,9.0,0.0,19/12/16,Latrine,Catlins,Penguin_Bay,RR6,NA,Chick,Breeding,Post-guard,U
S177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,13/11/16,Latrine,Otago_Peninsula,Aramoana,MY1,NA,Chick,Breeding,Guard,U
S179,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,10/12/16,Latrine,Catlins,Hina_Hina_Cove,BB5,NA,Chick,Breeding,Post-guard,U
S18,0.0,0.0,0.0,0.0,0.0,0.0,203.0,0.0,0.0,20/02/17,Fresh,Otago_Peninsula,Otapahi,OT3,19893,Adult,Breeding,Pre-moult,M
S180,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,11/11/16,Latrine,Catlins,Hina_Hina_Cove,CW3,NA,Chick,Breeding,Guard,U
S183,0.0,0.0,0.0,0.0,0.0,0.0,87.0,21.0,0.0,10/12/16,Latrine,Catlins,Penguin_Bay,BB7,NA,Chick,Breeding,Post-guard,U
S184,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,26/11/16,Latrine,North_Otago,Katiki_Point,KP93,NA,Chick,Breeding,Guard,U
S187,0.0,0.0,0.0,0.0,0.0,0.0,13.0,25.0,0.0,11/12/16,Latrine,Otago_Peninsula,Otapahi,OT6,NA,Chick,Breeding,Post-guard,U
S195,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,19/12/16,Latrine,Catlins,Penguin_Bay,BB7,NA,Chick,Breeding,Post-guard,U
S196,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,13/12/16,Latrine,Otago_Peninsula,Aramoana,MY2,NA,Chick,Breeding,Post-guard,U
S198,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,11/12/16,Latrine,Otago_Peninsula,Otapahi,OT3,NA,Chick,Breeding,Guard,U
S199,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,19/12/16,Latrine,Catlins,Hina_Hina_Cove,BB5,NA,Chick,Breeding,Post-guard,U
S20,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,19/04/17,Latrine,North_Otago,Katiki_Point,NA,NA,Adult,Unknown,Post-moult,U
S201,0.0,0.0,0.0,0.0,0.0,0.0,37.0,36.0,0.0,8/12/16,Latrine,Catlins,Long_Point,MY16,NA,Chick,Breeding,Post-guard,U
S202,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,19/12/16,Latrine,Catlins,Penguin_Bay,MEL1,NA,Chick,Breeding,Post-guard,U
S204,0.0,0.0,0.0,0.0,19.0,0.0,36.0,0.0,0.0,29/11/16,Latrine,Otago_Peninsula,Aramoana,MY2,NA,Chick,Breeding,Guard,U
S206,0.0,0.0,0.0,0.0,0.0,47.0,0.0,92.0,0.0,17/11/16,Latrine,Otago_Peninsula,Otapahi,OT4,NA,Chick,Breeding,Guard,U
S209,0.0,0.0,0.0,1819.0,0.0,0.0,13.0,0.0,0.0,16/08/17,Latrine,Catlins,Long_Point,NA,NA,Adult,Unknown,Pre-egg,U
S216,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,16/08/17,Latrine,Catlins,Nugget_Point,NA,NA,Adult,Unknown,Pre-egg,U
S218,0.0,0.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,16/08/17,Latrine,Catlins,Nugget_Point,NA,NA,Adult,Unknown,Pre-egg,U
S220,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,16/08/17,Latrine,Catlins,Nugget_Point,NA,NA,Adult,Unknown,Pre-egg,U
S25,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,19/04/17,Latrine,North_Otago,Katiki_Point,NA,NA,Adult,Unknown,Post-moult,U
S27,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,19/04/17,Fresh,North_Otago,Bobby's_Head,NA,982000405533753,Adult,Non-breeding,Post-moult,M
S31,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,18/12/16,Latrine,Otago_Peninsula,Otapahi,OT4,NA,Adult,Breeding,Post-guard,U
S41,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18/12/16,Latrine,Otago_Peninsula,Otapahi,OT4,NA,Adult,Breeding,Post-guard,U
S46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,18/11/16,Latrine,Catlins,Nugget_Point,CP3,NA,Adult,Breeding,Guard,U
S47,0.0,0.0,0.0,43.0,0.0,0.0,27.0,0.0,0.0,9/06/17,Latrine,Catlins,Long_Point,NA,NA,Adult,Unknown,Post-moult,U
S48,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,26/11/17,Latrine,North_Otago,Katiki_Point,KP28,NA,Adult,Breeding,Guard,U
S5,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,2/02/17,Fresh,Catlins,Hina_Hina_Cove,NA,982000033464096,Adult,Non-breeding,Pre-moult,M
S6,0.0,0.0,0.0,0.0,0.0,0.0,159.0,0.0,0.0,1/02/17,Fresh,Catlins,Penguin_Bay,MEL1,NA,Chick,Breeding,Post-guard,U
S66,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,10/12/16,Latrine,Catlins,Hina_Hina_Cove,BB5,NA,Adult,Breeding,Guard,U
S68,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,8/06/17,Fresh,Catlins,Long_Point,MY10,982000365999978,Adult,Breeding,Post-moult,F
S69,0.0,0.0,0.0,0.0,0.0,0.0,329.0,2396.0,0.0,12/11/16,Latrine,Catlins,Penguin_Bay,SQP6,NA,Chick,Breeding,Guard,U
S73,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/11/16,Latrine,North_Otago,Katiki_Point,KP28,NA,Chick,Breeding,Guard,U
S75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,17/12/16,Latrine,Catlins,Nugget_Point,SQP2,NA,Chick,Breeding,Post-guard,U
S77,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,18/12/16,Latrine,North_Otago,Katiki_Point,KP93,NA,Chick,Breeding,Guard,U
S79,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,16/08/17,Latrine,Catlins,Long_Point,NA,NA,Adult,Unknown,Pre-egg,U
S80,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28/11/16,Latrine,Otago_Peninsula,Otapahi,OT4,NA,Chick,Breeding,Guard,U
S81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0,0.0,11/12/16,Latrine,Otago_Peninsula,Sandymount,JW2,NA,Chick,Breeding,Post-guard,U
S83,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,26/11/16,Latrine,North_Otago,Katiki_Point,KP93,NA,Chick,Breeding,Guard,U
S85,0.0,0.0,0.0,0.0,0.0,0.0,139.0,0.0,0.0,11/12/16,Latrine,Otago_Peninsula,Otapahi,OT5,NA,Chick,Breeding,Post-guard,U
S94,0.0,24.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,19/04/17,Latrine,North_Otago,Katiki_Point,NA,NA,Adult,Unknown,Post-moult,U
S96,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,25/04/17,Latrine,Otago_Peninsula,Aramoana,NA,19831,Adult,Non-breeding,Post-moult,M
S97,0.0,73.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,19/04/17,Latrine,North_Otago,Okahau_Point,NA,NA,Adult,Unknown,Post-moult,U
